iter	Passed	Remaining
725	3311	5811
726	3316	5806
727	3320	5801
728	3325	5797
729	3329	5792
730	3333	5787
731	3338	5782
732	3342	5777
733	3347	5773
734	3351	5768
735	3355	5763
736	3360	5758
737	3364	5753
738	3369	5749
739	3373	5744
740	3378	5739
741	3382	5734
742	3387	5731
743	3393	5728
744	3398	5724
745	3403	5721
746	3408	5717
747	3414	5714
748	3419	5710
749	3423	5706
750	3428	5701
751	3432	5696
752	3437	5691
753	3441	5687
754	3446	5682
755	3450	5678
756	3455	5673
757	3459	5668
758	3464	5664
759	3468	5659
760	3473	5655
761	3477	5650
762	3482	5645
763	3486	5640
764	3491	5636
765	3495	5631
766	3500	5626
767	3504	5622
768	3509	5617
769	3513	5612
770	3517	5607
771	3522	5602
772	3526	5597
773	3531	5593
774	3535	5588
775	3540	5583
776	3544	5579
777	3549	5574
778	3553	5569
779	3558	5565
780	3562	5560
781	3567	5555
782	3571	5551
783	3576	5546
784	3580	5541
785	3584	5536
786	3589	5532
787	3594	5528
788	3599	5524
789	3603	5519
790	3608	5514
791	3612	5509
792	3616	5504
793	3621	5500
794	3625	5495
795	3630	5491
796	3635	5486
797	3639	5482
798	3643	5477
799	3648	5472
800	3652	5468
801	3657	5463
802	3661	5458
803	3666	5453
804	3670	5448
805	3674	5444
806	3679	5439
807	3683	5434
808	3688	5429
809	3692	5425
810	3697	5420
811	3701	5415
812	3705	5410
813	3710	5406
814	3714	5401
815	3719	5396
816	3724	5392
817	3728	5387
818	3732	5382
819	3737	5378
820	3741	5373
821	3746	5368
822	3750	5363
823	3755	5359
824	3759	5354
825	3763	5349
826	3768	5344
827	3772	5340
828	3777	5335
829	3781	5331
830	3786	5326
831	3790	5321
832	3795	5316
833	3799	5311
834	3804	5307
835	3808	5302
836	3812	5297
837	3817	5293
838	3821	5288
839	3826	5283
840	3830	5278
841	3835	5274
842	3839	5269
843	3845	5266
844	3850	5262
845	3855	5258
846	3860	5255
847	3865	5251
848	3871	5248
849	3876	5244
850	3880	5239
851	3885	5235
852	3889	5230
853	3894	5225
854	3898	5221
855	3903	5216
856	3907	5211
857	3912	5207
858	3916	5202
859	3921	5197
860	3925	5193
861	3930	5188
862	3934	5184
863	3939	5179
864	3943	5174
865	3948	5169
866	3952	5165
867	3956	5160
868	3961	5155
869	3965	5150
870	3970	5146
871	3974	5141
872	3979	5136
873	3983	5132
874	3987	5127
875	3992	5123
876	3997	5118
877	4001	5114
878	4006	5109
879	4010	5104
880	4015	5100
881	4019	5095
882	4024	5091
883	4029	5086
884	4033	5082
885	4039	5078
886	4043	5073
887	4048	5069
888	4052	5064
889	4057	5059
890	4061	5055
891	4065	5050
892	4070	5045
893	4074	5040
894	4078	5036
895	4083	5031
896	4087	5026
897	4092	5021
898	4096	5017
899	4101	5012
900	4105	5007
901	4110	5003
902	4114	4998
903	4119	4993
904	4123	4989
905	4127	4984
906	4132	4979
907	4136	4975
908	4141	4970
909	4145	4965
910	4150	4960
911	4154	4956
912	4158	4951
913	4163	4946
914	4167	4942
915	4172	4937
916	4176	4932
917	4181	4928
918	4185	4923
919	4190	4918
920	4194	4914
921	4199	4909
922	4203	4905
923	4207	4900
924	4212	4895
925	4216	4890
926	4221	4886
927	4225	4881
928	4230	4876
929	4234	4872
930	4239	4867
931	4243	4862
932	4248	4858
933	4252	4853
934	4256	4848
935	4261	4844
936	4265	4839
937	4270	4834
938	4274	4830
939	4279	4825
940	4283	4820
941	4288	4816
942	4292	4811
943	4296	4806
944	4302	4803
945	4307	4799
946	4312	4795
947	4318	4791
948	4323	4787
949	4328	4784
950	4334	4781
951	4339	4777
952	4344	4772
953	4348	4767
954	4353	4763
955	4357	4759
956	4362	4754
957	4366	4749
958	4371	4745
959	4375	4740
960	4380	4735
961	4384	4731
962	4389	4726
963	4393	4721
964	4398	4717
965	4402	4712
966	4407	4707
967	4411	4703
968	4416	4698
969	4420	4694
970	4425	4689
971	4429	4684
972	4434	4680
973	4438	4675
974	4443	4671
975	4447	4666
976	4452	4662
977	4456	4657
978	4461	4652
979	4465	4647
980	4470	4643
981	4474	4638
982	4478	4633
983	4483	4629
984	4487	4624
985	4492	4619
986	4496	4615
987	4501	4610
988	4505	4605
989	4510	4601
990	4514	4596
991	4519	4592
992	4523	4587
993	4528	4583
994	4532	4578
995	4537	4573
996	4541	4569
997	4546	4564
998	4550	4560
999	4555	4555
1000	4559	4550
1001	4564	4546
1002	4568	4541
1003	4573	4536
1004	4577	4532
1005	4582	4527
1006	4586	4522
1007	4590	4518
1008	4595	4513
1009	4600	4509
1010	4604	4504
1011	4609	4500
1012	4613	4495
1013	4618	4490
1014	4622	4485
1015	4627	4481
1016	4631	4476
1017	4635	4471
1018	4640	4467
1019	4644	4462
1020	4649	4457
1021	4653	4453
1022	4659	4449
1023	4664	4445
1024	4668	4441
1025	4673	4437
1026	4678	4432
1027	4682	4427
1028	4687	4423
1029	4691	4418
1030	4696	4413
1031	4700	4409
1032	4705	4404
1033	4709	4400
1034	4714	4395
1035	4718	4390
1036	4723	4386
1037	4727	4381
1038	4732	4376
1039	4736	4372
1040	4741	4367
1041	4746	4364
